timestamp,bogie_id,temperature_c,vibration_rms,traction_motor_temp_c,traction_motor_rpm,brake_capacity_pct,axle_load_kg,train_id
2026-08-01 00:07:59,BOGIE_01_1,35.968,0.3693,58.8,127.9,97.64,9496.8,TRAIN_01
2026-08-01 00:16:59,BOGIE_01_1,37.18,0.3625,55.09,196.3,97.35,9612.9,TRAIN_01
2026-08-01 00:30:44,BOGIE_01_1,34.861,0.3758,50.39,111.8,98.08,9632.7,TRAIN_01
2026-08-01 00:39:06,BOGIE_01_1,34.441,0.3144,58.03,81.7,97.81,9486.1,TRAIN_01
2026-08-01 00:52:09,BOGIE_01_1,36.2,0.3088,54.81,169.6,97.33,9494.6,TRAIN_01
2026-08-01 01:01:26,BOGIE_01_1,35.584,0.3647,56.44,41.3,97.58,9531.7,TRAIN_01
2026-08-01 01:15:37,BOGIE_01_1,35.961,0.331,58.11,139.1,98.0,9466.6,TRAIN_01
2026-08-01 01:23:10,BOGIE_01_1,34.378,0.3069,54.21,92.2,97.39,9605.5,TRAIN_01
2026-08-01 01:34:08,BOGIE_01_1,36.71,0.3575,58.66,112.9,98.24,9581.9,TRAIN_01
2026-08-01 01:46:07,BOGIE_01_1,35.73,0.3755,57.52,88.5,98.67,9378.8,TRAIN_01
2026-08-01 01:58:40,BOGIE_01_1,35.622,0.3236,51.81,15.4,97.8,9339.5,TRAIN_01
2026-08-01 02:11:05,BOGIE_01_1,34.124,0.3378,58.89,70.4,97.89,9402.1,TRAIN_01
2026-08-01 02:20:30,BOGIE_01_1,38.836,0.3577,56.94,121.4,98.44,9370.2,TRAIN_01
2026-08-01 02:29:27,BOGIE_01_1,35.185,0.4035,51.58,140.7,97.62,9956.5,TRAIN_01
2026-08-01 02:37:06,BOGIE_01_1,38.504,0.4387,61.42,169.5,97.86,9343.2,TRAIN_01
2026-08-01 02:44:53,BOGIE_01_1,34.512,0.3184,58.62,128.7,96.85,9271.1,TRAIN_01
2026-08-01 02:50:07,BOGIE_01_1,38.201,0.2982,57.13,188.9,97.94,9471.5,TRAIN_01
2026-08-01 03:03:08,BOGIE_01_1,36.502,0.2779,58.15,124.8,98.7,9833.7,TRAIN_01
2026-08-01 03:18:05,BOGIE_01_1,35.619,0.3603,55.9,180.9,98.77,9573.1,TRAIN_01
2026-08-01 03:33:02,BOGIE_01_1,36.705,0.3364,61.32,61.9,98.35,9659.9,TRAIN_01
2026-08-01 03:43:54,BOGIE_01_1,36.599,0.3507,55.83,69.8,98.22,9524.4,TRAIN_01
2026-08-01 03:54:45,BOGIE_01_1,37.676,0.3622,61.83,172.9,98.15,9587.2,TRAIN_01
2026-08-01 04:03:28,BOGIE_01_1,37.517,0.3213,57.89,90.2,97.59,9305.2,TRAIN_01
2026-08-01 04:11:08,BOGIE_01_1,37.323,0.3097,62.18,163.1,98.4,9817.9,TRAIN_01
2026-08-01 04:16:19,BOGIE_01_1,35.825,0.3486,61.75,159.4,97.63,9301.9,TRAIN_01
2026-08-01 04:28:42,BOGIE_01_1,38.135,0.3478,57.85,152.7,97.98,9430.1,TRAIN_01
2026-08-01 04:36:04,BOGIE_01_1,36.165,0.3389,59.83,62.3,97.77,9245.2,TRAIN_01
